Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-02-04,1481.27,1502.7,1478.91,1501.72,20330080
2020-02-05,1515.67,1520.59,1510.37,1516.66,20384000
2020-02-06,1528.26,1577.8,1527.47,1555.78,64783490
2020-02-07,1564.62,1566,1537.69,1545.56,24631005
2020-02-10,1530.42,1535.14,1520.39,1523.15,20539655
2020-02-12,1515.67,1532.19,1508.4,1532.19,26284230
2020-02-13,1526.49,1530.81,1519.02,1525.11,17312560
2020-02-14,1525.7,1526.49,1513.91,1519.41,18573590
2020-02-17,1508.6,1520.79,1498.18,1518.62,15552005
2020-02-18,1509.38,1515.09,1490.32,1492.87,21446130
2020-02-19,1507.22,1507.42,1480.29,1482.84,26683545
2020-02-20,1503.88,1529.24,1503.49,1523.93,29136930
2020-02-21,1530.42,1548.5,1528.45,1540.64,26222170
2020-02-25,1468.49,1502.31,1464.56,1488.94,42459880
2020-02-26,1474.59,1488.55,1467.31,1483.24,34462855
2020-02-27,1469.67,1470.46,1444.71,1451.59,45002795
2020-02-28,1415.81,1423.08,1376.89,1401.07,54015660
2020-03-02,1364.5,1414.43,1362.93,1406.37,46094430
2020-03-03,1432.72,1444.51,1384.75,1384.75,41054385
2020-03-04,1369.81,1387.11,1360.37,1370.99,29778890
2020-03-05,1390.65,1393.79,1368.63,1377.67,29813990
2020-03-06,1356.44,1356.64,1327.15,1335.6,41757895
2020-03-09,1291.57,1294.91,1253.43,1276.82,45083165
2020-03-10,1257.16,1309.26,1231.81,1297.46,49964500
2020-03-11,1303.36,1342.68,1280.17,1284.69,42088030
2020-03-12,1258.15,1267.78,1224.53,1240.26,48827590
2020-03-13,1164.97,1246.94,1134.5,1196.03,80580685
2020-03-16,1195.04,1214.51,1165.16,1167.91,47332060
2020-03-17,1150.62,1267.98,1144.52,1250.28,82543190
2020-03-18,1243.4,1332.26,1238.49,1241.83,93683375
2020-03-19,1242.42,1295.3,1242.03,1257.16,95339140
2020-03-23,1217.85,1234.36,1206.84,1213.33,78909145
2020-03-24,1231.61,1237.51,1202.12,1229.25,61514180
2020-03-25,1286.65,1360.18,1277.22,1360.18,65173655
2020-03-26,1326.95,1343.07,1304.94,1320.66,61268990
2020-03-27,1372.17,1381.8,1323.61,1381.8,77632350
2020-03-30,1341.8,1363.4,1317.8,1359.4,57345500
2020-03-31,1355.2,1359.4,1297.2,1300.2,58846000
2020-04-01,1286,1320.6,1252,1266.2,55771500
2020-04-02,1266,1281,1254,1257.4,50396500
2020-04-03,1250,1274.4,1232.6,1239,40147000
2020-04-06,1246,1326.8,1234.4,1316,52831500
2020-04-07,1332.2,1347.4,1288.8,1323.6,47160500
2020-04-08,1328.2,1354.2,1310.6,1350.6,42991000
2020-04-09,1343.8,1345.8,1321.8,1336,28752000
2020-04-10,1316,1338.2,1310.2,1327,29598000
2020-04-13,1312,1327.2,1303.2,1305,20673000
2020-04-14,1307,1351,1307,1350,33582500
2020-04-15,1336,1350,1330.2,1347.6,26336000
2020-04-16,1318.4,1324,1312.2,1320.4,28434000
2020-04-17,1327.6,1358.4,1324.8,1351.2,33658500
2020-04-20,1333,1345,1327,1327,22320000
2020-04-21,1323.8,1330.8,1311.2,1312,22528000
2020-04-22,1301,1305.8,1290.2,1300,23568000
2020-04-23,1310.6,1314.6,1302.6,1314,17181000
2020-04-24,1290,1314,1289.4,1308.6,24035000
2020-04-27,1311.2,1334,1308.4,1331.8,21065000
2020-04-28,1326.4,1346,1323,1337,19544000
2020-04-30,1364,1375,1332.4,1333.2,40368500
2020-05-01,1320.6,1325.8,1291.6,1298.8,30841000
2020-05-07,1276.4,1291.4,1274.6,1282.8,29652000
2020-05-08,1289.6,1302.2,1284.2,1298.4,27246000
2020-05-11,1324,1335,1316.4,1331.6,25900000
2020-05-12,1322,1331,1297,1305.4,39047000
2020-05-13,1282.4,1292,1274.4,1276.8,40657500
2020-05-14,1260,1265.2,1248.6,1248.6,32473000
2020-05-15,1260,1264,1241.6,1249.8,27393000
2020-05-18,1256,1260,1249.6,1251.4,21725000
2020-05-19,1269.2,1292.4,1267.6,1286.2,35095000
2020-05-20,1280.4,1286.2,1277.4,1283,21370500
2020-05-21,1288.2,1289,1270.8,1272.4,17638000
2020-05-22,1284,1287.2,1256,1257.8,23268500
2020-05-25,1277,1279,1267.2,1276.6,15351500
2020-05-26,1288,1336,1285.2,1329.8,38703000
2020-05-27,1328,1355,1318.4,1348,38496500
2020-05-28,1367.8,1396,1365.2,1394.6,48670500
2020-05-29,1380,1389,1351,1351,109161500
2020-06-01,1357,1364,1337,1344,22533500
2020-06-02,1357,1373,1353.6,1354.8,29813500
2020-06-03,1380,1387.4,1372,1383,32221500
2020-06-04,1401.4,1420,1386.6,1394.8,39300000
2020-06-05,1389.2,1413.4,1388,1413.4,26825500
2020-06-08,1432,1434.8,1421.2,1433.4,31710500
2020-06-09,1420,1425.8,1404,1424.2,29232500
2020-06-10,1412.2,1428,1402.2,1418.8,23854000
2020-06-11,1388.8,1411.4,1381,1381,29786000
2020-06-12,1348.4,1378.2,1340.6,1370.6,36581500
2020-06-15,1364,1379,1340,1340,21524000
2020-06-16,1376,1411.4,1368.6,1404.2,36452000
2020-06-17,1400,1401,1381,1388.8,23684000
2020-06-18,1376,1388,1368.6,1377.4,17525500
2020-06-19,1381.6,1382.4,1365,1370.2,29101500
2020-06-22,1359.8,1374,1356,1363.6,14133000
2020-06-23,1376.4,1393.8,1365.4,1379.2,25700000
2020-06-24,1379.2,1402.4,1379,1395.4,26051000
2020-06-25,1375.4,1377.6,1358.6,1359,29914500
2020-06-26,1364.6,1380.8,1364.2,1373.6,23512000
2020-06-29,1356,1361.4,1347.4,1351.8,25504000
2020-06-30,1374,1375.6,1350,1352.4,23943500
2020-07-01,1352,1355,1328.6,1331.2,25141000
2020-07-02,1334.2,1364.2,1332.4,1355.4,28370500
2020-07-03,1355.2,1358,1342.6,1352.2,19218500
2020-07-06,1361,1371.8,1353.6,1371.8,20675000
2020-07-07,1372,1372.8,1349.6,1354,21976000
2020-07-08,1353.8,1363.8,1345.2,1345.6,23367000
2020-07-09,1340,1351.4,1336.2,1341.8,20008500
2020-07-10,1333,1334.6,1313.6,1313.6,33231500
2020-07-13,1335,1354.2,1323.6,1352.4,26204500
2020-07-14,1339.2,1358.6,1339,1348.8,20668000
2020-07-15,1360,1374,1359,1367,23768000
2020-07-16,1359.8,1371.8,1353.6,1358,26943000
2020-07-17,1363,1371.6,1361.2,1362.6,16074000
2020-07-20,1357,1365.4,1354,1358.8,12793000
2020-07-21,1366,1368,1351.2,1355,20404000
2020-07-22,1355,1361.8,1345.8,1345.8,17611000
2020-07-27,1326.6,1349.6,1326.2,1347.4,25582000
2020-07-28,1335.2,1341.2,1324,1327.2,23719000
2020-07-29,1312.2,1315.6,1286.6,1286.6,32327500
2020-07-30,1301.8,1304.6,1283.6,1287,22763000
2020-07-31,1272,1276.2,1243.4,1243.4,32558500
2020-08-03,1261.8,1267.6,1251,1266,20577000
2020-08-04,1280,1308.4,1279.8,1307.8,24323500
2020-08-05,1302.2,1330,1297.8,1329.6,26741000
2020-08-06,1322,1370,1313,1360,56855000
2020-08-07,1362,1389,1362,1375.6,38323500
2020-08-11,1394,1430,1391,1430,47353500
2020-08-12,1428.2,1452.6,1425.4,1448.8,34724500
